CLIENTID                            ;PRODUCTID                           ;QUANTITY 
0C5F4E9F-68E0-DF11-9D9F-0014D1184EFC;74770E08-382F-4984-9297-014521A327F4;19
FB326931-6577-E411-80CF-00155DC0AB72;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;9
834550E8-BDD3-4C91-A6FF-00B418FF551A;74770E08-382F-4984-9297-014521A327F4;18
834550E8-BDD3-4C91-A6FF-00B418FF551A;8F89AB13-3C99-495A-8CA0-04A536B1A298;3
FB326931-6577-E411-80CF-00155DC0AB72;8F89AB13-3C99-495A-8CA0-04A536B1A298;2
9102CDA2-4239-4B59-BDF5-03FF8EAB50A5;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;3
FB326931-6577-E411-80CF-00155DC0AB72;59662710-0E4C-46B9-8BFD-0A389BAB62F5;1
FB326931-6577-E411-80CF-00155DC0AB72;74770E08-382F-4984-9297-014521A327F4;4

9102CDA2-4239-4B59-BDF5-03FF8EAB50A5;59662710-0E4C-46B9-8BFD-0A389BAB62F5;2
9102CDA2-4239-4B59-BDF5-03FF8EAB50A5;5E16F8AB-2E8E-49D0-BE97-07553D93A262;3
834550E8-BDD3-4C91-A6FF-00B418FF551A;59662710-0E4C-46B9-8BFD-0A389BAB62F5;3
834550E8-BDD3-4C91-A6FF-00B418FF551A;74770E08-382F-4984-9297-014521A327F4;8
834550E8-BDD3-4C91-A6FF-00B418FF551A;74770E08-382F-4984-9297-014521A327F4;18
FB326931-6577-E411-80CF-00155DC0AB72;74770E08-382F-4984-9297-014521A327F4;7
0C5F4E9F-68E0-DF11-9D9F-0014D1184EFC;5E16F8AB-2E8E-49D0-BE97-07553D93A262;28
834550E8-BDD3-4C91-A6FF-00B418FF551A;5E16F8AB-2E8E-49D0-BE97-07553D93A262;5
9102CDA2-4239-4B59-BDF5-03FF8EAB50A5;59662710-0E4C-46B9-8BFD-0A389BAB62F5;23
0C5F4E9F-68E0-DF11-9D9F-0014D1184EFC;8F89AB13-3C99-495A-8CA0-04A536B1A298;5
FB326931-6577-E411-80CF-00155DC0AB72;8F89AB13-3C99-495A-8CA0-04A536B1A298;19
0C5F4E9F-68E0-DF11-9D9F-0014D1184EFC;59662710-0E4C-46B9-8BFD-0A389BAB62F5;10
834550E8-BDD3-4C91-A6FF-00B418FF551A;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;20
FB326931-6577-E411-80CF-00155DC0AB72;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;6
834550E8-BDD3-4C91-A6FF-00B418FF551A;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;26
9102CDA2-4239-4B59-BDF5-03FF8EAB50A5;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;28
0C5F4E9F-68E0-DF11-9D9F-0014D1184EFC;59662710-0E4C-46B9-8BFD-0A389BAB62F5;13
FB326931-6577-E411-80CF-00155DC0AB72;5E16F8AB-2E8E-49D0-BE97-07553D93A262;12
9102CDA2-4239-4B59-BDF5-03FF8EAB50A5;4274361B-1DBA-4F5A-A1BA-0234D268C2F5;9
834550E8-BDD3-4C91-A6FF-00B418FF551A;5E16F8AB-2E8E-49D0-BE97-07553D93A262;5
834550E8-BDD3-4C91-A6FF-00B418FF551A;59662710-0E4C-46B9-8BFD-0A389BAB62F5;51
FB326931-6577-E411-80CF-00155DC0AB72;74770E08-382F-4984-9297-014521A327F4;1
